Index,Origin,Dest
305584,LAX,BDL
754565,CMH,LGA
405740,ORD,SYR
130338,ORD,IAH
223252,SFO,PHL
672201,BDL,MDW
1037514,DTW,MLI
603634,ATL,BHM
116364,IAH,OKC
209520,RDM,PDX
321677,ATL,JAX
537020,DEN,SEA
193327,RNO,SLC
792889,SFO,SNA
580327,IAH,LAX
260950,ORF,CLT
958477,ATL,MEM
563909,IAH,IND
2954,CMH,TPA
465933,MCI,MSP
951478,PHX,ATL
220313,HNL,SFO
1024972,DTW,ORD
377805,HNL,OGG
926949,ATL,SHV
702415,TUS,ONT
857547,PHL,LAS
731465,HNL,ITO
577389,IAH,SAT
950748,PNS,ATL
248943,SJC,DEN
946634,ATL,MIA
106837,RDU,EWR
115999,ALB,EWR
476684,IAH,MEM
323046,HNL,SLC
483829,LGA,MSY
703628,IAH,JAN
1025959,MDW,MSP
212134,SLC,ONT
284419,DCA,PVD
212894,FWA,ORD
981179,DFW,BTR
575617,EWR,AUS
303951,SLC,JAC
173603,ORD,ICT
1040857,ROC,MSP
102398,LAX,PDX
734449,IAD,SAV
140112,FAT,LAS
577684,EWR,DCA
381551,LAX,SJC
89384,OKC,MCI
578636,FLL,EWR
116643,BNA,IAH
364845,ATL,CAK
905816,DEN,ATL
338544,AEX,ATL
141778,LAX,LAS
1028847,MEM,OMA
113826,IAH,JAX
878435,DCA,FLL
236958,SJC,DEN
715301,IAH,PSP
396445,GSP,DFW
220187,HNL,SFO
470269,MEM,SDF
625257,OAK,PDX
703254,DTW,EWR
128867,EWR,CMH
145153,HSV,IAD
361174,ATL,MSY
745851,KOA,HNL
175881,MKE,BWI
335767,SWF,ATL
226740,LAX,IAD
589231,CVG,BDL
951337,MCO,BMI
840055,LAX,DEN
637859,ONT,SMF
511970,RDU,DFW
627781,MCO,MCI
833369,ROC,ORD
505361,SJU,BOS
434777,MSP,RSW
216400,DEN,ABQ
731781,PHX,DSM
212380,MRY,LAX
205265,SFO,RNO
844713,SFO,PHX
827186,ORD,SJC
963874,FAT,LAX
147178,CLT,MYR
955018,JAX,ATL
552147,JFK,FLL
379572,FAT,LAX
662326,BWI,TPA
461861,CVG,DTW
441988,SAT,MSP
805911,LAX,SJC
210187,DEN,BZN
443854,DTW,BWI
543696,SAN,PDX
55192,DEN,LAS
915248,CAE,ATL
717325,IND,IAH
153498,MSY,CVG
1000990,DCA,JFK
242999,DEN,SFO
857493,PHL,ATL
377945,OGG,HNL
313695,ATL,SFO
286379,PHX,OMA
149947,CLT,ORF
53293,MDW,BNA
536100,SEA,MCO
571031,SEA,EWR
415572,ORD,FNT
1034869,SWF,DTW
544018,FAI,ANC
440884,MEM,FLL
815674,ORD,RIC
135348,LIH,HNL
108193,IAH,GRK
635721,AUS,LBB
116262,IAH,GRK
800889,TYS,DEN
821655,DEN,FSD
436795,DTW,MSP
860769,LAS,DFW
90346,SMF,ONT
735428,PHX,SBP
203610,BUR,SFO
714243,DAL,IAH
44669,SEA,OAK
630746,MDW,MCI
933555,DEN,SLC
228313,ORD,SNA
102005,LAX,ICT
746975,BUF,ORD
314872,SLC,PDX
1782,SAT,DAL
423383,GFK,MSP
894684,BWI,ATL
367091,CLT,ATL
733428,CLE,IAD
746611,LIH,HNL
978356,DFW,SAV
480653,SNA,SJC
1039770,PIA,DTW
387088,DAL,MCI
501028,DFW,RIC
806848,SFO,SBA
975214,DFW,CID
199096,BIS,DEN
347143,DEN,SDF
250284,ORD,CLE
574303,HNL,LAX
584156,EWR,RSW
638188,PHX,STL
14906,SJC,SNA
632182,ABQ,LAS
191770,MSO,SLC
894853,CVG,BDL
808893,DRO,DEN
6692,ISP,BWI
1035517,ABE,DTW
341628,BHM,ATL
